id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
10831,200.0,2011-03-19,Dhv\swis,217,RWE,36.67986916,-8.15775384,Kwamasalalila,0,Rufiji,Lihami,Morogoro,5,3,Kilombero,Ifakara,280,True,GeoData Consultants Ltd,,,True,1979,swn 80,swn 80,handpump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
25701,0.0,2013-02-12,Lga,312,LGA,38.97598497,-10.52859537,Atonene,0,Ruvuma / Southern Coast,Msigalila,Mtwara,90,33,Masasi,Mwena,30,True,GeoData Consultants Ltd,VWC,,True,2010,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,spring,spring,groundwater,communal standpipe,communal standpipe,functional
13557,50.0,2013-02-17,Mission,983,DWE,35.45187224,-10.64064128,Kwa Njovu,0,Ruvuma / Southern Coast,Mabatini,Ruvuma,10,2,Songea Rural,Maposeni,0,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa peramiho,True,2009,other,other,other,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
475,2200.0,2011-02-28,Shipo,1795,SHIPO,34.81590623,-9.6565512,none,0,Lake Nyasa,Lufingo,Iringa,11,4,Njombe,Luponde,40,True,GeoData Consultants Ltd,WUA,Luholo,True,2005,gravity,gravity,gravity,wua,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
44263,20.0,2011-03-18,Missi,716,Missi,35.88999718,-7.14853146,none,0,Rufiji,Mbweleli,Iringa,11,1,Iringa Rural,Izazi,1,False,GeoData Consultants Ltd,,Migoli,True,2006,swn 80,swn 80,handpump,unknown,unknown,pay per bucket,per bucket,salty,salty,dry,dry,machine dbh,borehole,groundwater,hand pump,hand pump,non functional
50490,1000.0,2013-02-14,Thomasi Busigaye,1276,Thomasi busigaye,30.55569329,-3.62655424,Thomasi Busigaye,0,Lake Tanganyika,Soweto,Kigoma,16,1,Kibondo,Itaba,100,True,GeoData Consultants Ltd,Private operator,Kigogo gravity water supply,False,2005,gravity,gravity,gravity,private operator,commercial,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
32356,0.0,2011-07-29,,0,,33.66794016,-9.36897034,Kwa Mzee Mpoki,0,Lake Nyasa,Lugombo,Mbeya,12,4,Rungwe,Ilima,0,True,GeoData Consultants Ltd,VWC,M,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
3286,0.0,2013-02-04,Lwi,0,LWI,0.0,-2e-08,Upendo,0,Lake Victoria,Nyanding'O,Shinyanga,17,1,Bariadi,Mhango,0,False,GeoData Consultants Ltd,WUG,,False,0,india mark ii,india mark ii,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
48307,50.0,2011-03-28,District Council,504,Handeni Trunk Main(,38.26206881,-5.44853152,Kwa Mkabala,5,Pangani,Matondo A,Tanga,4,6,Handeni,Sindeni,700,True,GeoData Consultants Ltd,VWC,Handeni Trunk Main(H,True,1990,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional
9878,6000.0,2013-11-03,Oikos E.Afrika,1492,Community,36.83576006,-3.15918722,Areemu Ikombori,0,Internal,Nkuuny,Arusha,2,7,Meru,Ngarenanyuki,150,True,GeoData Consultants Ltd,VWC,Nkuuny gravity water supply,True,2007,gravity,gravity,gravity,wug,user-group,pay annually,annually,fluoride,fluoride,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional
19287,0.0,2013-01-28,Fw,323,FW,39.02113355,-10.80455279,Mangongoli,0,Ruvuma / Southern Coast,Dodoma,Mtwara,90,33,Masasi,Nanjota,1,True,GeoData Consultants Ltd,VWC,,True,1980,other,other,other,vwc,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
13331,0.0,2011-04-18,Kkkt,0,KKKT,32.94695769,-9.15850848,Kilimampimbi Shuleni,0,Lake Rukwa,Kanjenje,Mbeya,12,6,Mbozi,Isandula,0,True,GeoData Consultants Ltd,VWC,,False,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
65531,0.0,2011-03-04,Roman,427,Roman,37.722953100000005,-7.02426273,Kwa Mzee Zewe,0,Wami / Ruvu,Dongo,Morogoro,5,2,Morogoro Rural,Tawa,100,True,GeoData Consultants Ltd,VWC,Tawa,True,2004,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
49447,0.0,2011-03-12,Cmsr,0,Gove,35.50113687,-6.10156833,Malugu,0,Internal,Kichan,Dodoma,1,6,Bahi,Kigwe,0,True,GeoData Consultants Ltd,VWC,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
50998,40000.0,2011-08-03,Government Of Tanzania,54,DWE,39.04694181,-5.06149401,Sekondari,0,Pangani,Kwa Nyanji,Tanga,4,4,Tanga,Mzizima,609,True,GeoData Consultants Ltd,VWC,Mzizima Water Supply,True,2005,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
65565,0.0,2012-11-11,Government Of Tanzania,0,DWE,33.95215977,-3.43793044,Lalago Secschool,0,Internal,Lalago Mjini,Shinyanga,17,2,Maswa,Lalago,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,other,other,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
36548,0.0,2013-02-07,Fini Water,95,Fini water,40.11121092,-10.47696549,Kilimo,0,Ruvuma / Southern Coast,Ludipe,Mtwara,99,1,Mtwara Rural,Nanguruwe,300,,GeoData Consultants Ltd,,,True,1985,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
73770,0.0,2011-02-26,Private Individual,-3,Da,38.84911108,-6.54184682,Kizito,0,Wami / Ruvu,Uzaramoni,Pwani,6,1,Bagamoyo,Yombo,24,True,GeoData Consultants Ltd,Company,Bagamoyo Wate,True,1980,mono,mono,motorpump,private operator,commercial,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
52471,0.0,2012-10-13,,0,,33.3574644,-4.02240037,Kwa Jacob,0,Internal,Uswahilini,Tabora,14,2,Igunga,Choma,0,True,GeoData Consultants Ltd,Water authority,World Bank,True,0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
46211,0.0,2011-08-03,Danida,0,DANIDA,32.88692226,-8.89223347,Mataifa,0,Lake Rukwa,Mandenga,Mbeya,12,6,Mbozi,Halungu,0,False,GeoData Consultants Ltd,VWC,,False,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,functional
27813,0.0,2011-04-10,,0,,34.00931745,-8.84865495,Kwa Mama Devi,0,Rufiji,Njia Panda,Mbeya,12,7,Mbarali,Chimala,0,True,GeoData Consultants Ltd,VWC,,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,functional
44808,0.0,2013-03-26,Government Of Tanzania,1596,DWE,37.49062715,-3.26971,Kwa John Lekule,0,Pangani,Kyonu,Kilimanjaro,3,4,Moshi Rural,Marangu Magharibi,1,False,GeoData Consultants Ltd,VWC,Marangu west,True,1972,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,functional needs repair
55537,0.0,2011-07-22,Hesawa,1176,DWE,32.90219898,-1.92445521,Msimbazi,0,Lake Victoria,Msimbazi,Mwanza,19,1,Ukerewe,Ilangala,500,,GeoData Consultants Ltd,,,True,2001,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
68803,0.0,2011-08-01,Ka,0,KA,31.63344158,-1.61302963,Kanisani,0,Lake Victoria,Butanyata,Kagera,18,3,Muleba,Kamachumu,0,True,GeoData Consultants Ltd,VWC,,True,0,other - swn 81,other handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
55203,0.0,2011-04-15,Rc Church,1836,RC church,34.80299952,-9.12942064,Chekechea,0,Rufiji,Kati,Iringa,11,4,Njombe,Mdandu,125,True,GeoData Consultants Ltd,WUA,,True,2009,swn 80,swn 80,handpump,wua,user-group,never pay,never pay,soft,good,dry,dry,hand dtw,borehole,groundwater,hand pump,hand pump,non functional
23364,0.0,2011-07-22,Ridep,0,RIDEP,33.05089855,-2.69491842,Mwamanyi,0,Lake Victoria,Mwamanyili,Mwanza,19,7,Missungwi,Ukiriguru,0,True,GeoData Consultants Ltd,VWC,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay annually,annually,milky,milky,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
38878,0.0,2011-01-04,Unicef,1481,DWE,34.57112511,-8.95581601,Kwa Msemwa,0,Rufiji,Ludengele,Iringa,11,4,Njombe,Luduga,56,True,GeoData Consultants Ltd,WUA,wanging'ombe supply scheme,True,1978,gravity,gravity,gravity,wua,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
21289,0.0,2012-10-22,Rwssp,0,WEDECO,34.08370843,-3.44745523,Upendo,0,Internal,Shogashoga,Shinyanga,17,6,Meatu,Itinje,0,True,GeoData Consultants Ltd,WUG,,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
13415,0.0,2011-03-26,,0,,32.93007307,-9.30764045,Kwakawa,0,Lake Nyasa,Isoka,Mbeya,12,5,Ileje,Mbebe,0,True,GeoData Consultants Ltd,VWC,,False,0,other,other,other,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
10809,0.0,2013-02-05,Dwsp,0,DWE,0.0,-2e-08,Mwamalale,0,Lake Victoria,Mwamalale,Shinyanga,17,1,Bariadi,Mhango,0,False,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
58922,0.0,2011-03-15,Roman,1385,wanan,34.94491589,-10.12394293,none,0,Lake Nyasa,Morogoro,Iringa,11,5,Ludewa,Ibumi,63,True,GeoData Consultants Ltd,VWC,Roman,False,2007,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
12084,500.0,2011-03-15,Government Of Tanzania,287,DWE,36.67187912,-8.33138164,Milola Kati,0,Rufiji,Milola Kati,Morogoro,5,4,Ulanga,Lupiro,300,True,GeoData Consultants Ltd,,,True,1977,swn 80,swn 80,handpump,vwc,user-group,pay monthly,monthly,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,functional
68108,0.0,2011-08-05,Government Of Tanzania,0,DWE,30.64319014,-1.20772042,Kinyarugulu,0,Lake Victoria,Rwenkende,Kagera,18,1,Karagwe,Kibingo,0,True,GeoData Consultants Ltd,VWC,Kihinda water sup,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
57230,0.0,2011-07-30,,0,,33.67003666,-9.36401644,Shule Ya Ilima,0,Lake Nyasa,Lugombo,Mbeya,12,4,Rungwe,Ilima,0,True,GeoData Consultants Ltd,VWC,M,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
4951,0.0,2012-10-29,Grumeti,1341,GRUMETI,34.50916727,-1.99591084,Masegenya,0,Lake Victoria,Nyakitono,Mara,20,2,Serengeti,Natta,250,False,GeoData Consultants Ltd,WUG,,,1995,afridev,afridev,handpump,wug,user-group,never pay,never pay,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,functional
15305,33.0,2013-03-13,Ces(gmbh),733,DWE,37.39110984,-3.42696881,Kwa Awadhi Mchomvu,0,Pangani,Rau Kati,Kilimanjaro,3,4,Moshi Rural,Kahe,100,True,GeoData Consultants Ltd,Water Board,Kirua kahe pumping water trust,True,2008,submersible,submersible,submersible,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
23317,25.0,2013-03-20,Government Of Tanzania,915,RWE/ Community,36.95163462,-3.52228991,Center,0,Pangani,Mabatini,Arusha,2,7,Meru,Makiba,600,True,GeoData Consultants Ltd,VWC,Makiba pumping water supply,True,0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
5545,3000.0,2012-10-21,Watu Wa Ujerumani,1148,MTN,34.00275296,-1.14497676,Kwa Makemo Kerario,0,Lake Victoria,Okebe,Mara,20,6,Rorya,Mkoma,1000,True,GeoData Consultants Ltd,Private operator,Mradi wa maji Shirati,False,1991,submersible,submersible,submersible,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,non functional
17813,0.0,2011-03-21,Plan,0,DWE,36.28386427,-6.66906771,Uwanja Wa Ndege,0,Rufiji,Uwanja Wa Ndege,Dodoma,1,1,Mpwapwa,Wotta,0,True,GeoData Consultants Ltd,VWC,,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,hand pump,hand pump,functional
29715,0.0,2013-02-12,Government Of Tanzania,1237,TCRS,30.98180702,-3.27089988,Kakonko Health Center,0,Lake Tanganyika,Gezaulole,Kigoma,16,1,Kibondo,Kakonko,350,True,GeoData Consultants Ltd,VWC,Muganza puping scheme,False,2010,submersible,submersible,submersible,vwc,user-group,unknown,unknown,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
35794,20.0,2013-02-23,Jica,1563,Jica,35.56149597,-4.35411499,Mq 1,0,Internal,Gudedeshi,Manyara,21,2,Hanang,Masqaroda,253,True,GeoData Consultants Ltd,VWC,Malama,True,2003,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
43092,0.0,2011-07-30,Kkkt_makwale,0,KKKT _ Konde and DWE,33.91835583,-9.43360717,Kwa Sardi Salehe,0,Lake Nyasa,Mchangani,Mbeya,12,3,Kyela,Makwale,0,True,GeoData Consultants Ltd,VWC,Makwale water supplied sche,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
36830,0.0,2011-07-20,Aar,0,COCANE,30.50271107,-2.89859693,Mukalila,0,Lake Victoria,Nyabibuye,Kagera,18,30,Ngara,Bukiriro,0,True,GeoData Consultants Ltd,VWC,,False,0,india mark iii,india mark iii,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
46140,2000.0,2013-11-03,Oxfam,1478,DWE,36.68746444,-3.34791749,Kwa Meshaa,7,Pangani,Ilboru,Arusha,2,2,Arusha Rural,Moivo,200,True,GeoData Consultants Ltd,VWC,Nabaiye pipe line,True,1999,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
20959,0.0,2012-10-19,Government Of Tanzania,0,Government,33.14909244,-3.95363719,Kwa Libuda Saidi,0,Internal,Welezo,Shinyanga,17,3,Shinyanga Rural,Tinde,0,True,GeoData Consultants Ltd,VWC,,True,0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
10217,0.0,2013-02-18,,1358,,34.93863553,-5.26031765,Mch. Anton Mkuru,0,Internal,Mang'Onyi St,Singida,13,2,Singida Rural,Mang'onyi,1,,GeoData Consultants Ltd,VWC,M,,1970,mono,mono,motorpump,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
53416,50.0,2013-02-16,Mission,957,DWE,35.44498767,-10.65546601,Kwa Jull,0,Ruvuma / Southern Coast,Mchangani,Ruvuma,10,2,Songea Rural,Maposeni,0,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa peramiho,True,2009,other,other,other,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
66712,0.0,2013-02-27,Hesawa,1434,HESAWA,34.57557857,-1.94362551,Songambere,0,Lake Victoria,Songambere,Mara,20,2,Serengeti,Kyambahi,300,,GeoData Consultants Ltd,Other,,True,1993,swn 80,swn 80,handpump,wug,user-group,unknown,unknown,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
