id,longitude,latitude,date_recorded,funder,gps_height,installer,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
41466,33.456711,-2.78559,2013-03-06,Central government,1390,Central government,Nyamanga,0,Lake Victoria,Nyamanga,Kagera,16,1,Bukoba,Nyamanga,GeoData Consultants Ltd,VWC,Nyamanga,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
71392,32.832855,-2.235733,2013-03-06,Central government,1354,Central government,Nyakabanga,0,Lake Victoria,Nyakabanga,Kagera,16,1,Bukoba,Nyakabanga,GeoData Consultants Ltd,VWC,Nyakabanga,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
7289,33.456711,-2.78559,2013-03-06,Central government,1377,Central government,Nyamanga,0,Lake Victoria,Nyamanga,Kagera,16,1,Bukoba,Nyamanga,GeoData Consultants Ltd,VWC,Nyamanga,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
22824,33.42827,-2.78559,2013-03-06,Central government,1389,Central government,Nyabusozi,0,Lake Victoria,Nyabusozi,Kagera,16,1,Bukoba,Nyabusozi,GeoData Consultants Ltd,VWC,Nyabusozi,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
52308,32.945669,-2.162717,2013-03-06,Central government,1320,Central government,Nyakatuntu,0,Lake Victoria,Nyakatuntu,Kagera,16,1,Bukoba,Nyakatuntu,GeoData Consultants Ltd,VWC,Nyakatuntu,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
28166,33.885669,-2.965,2013-03-06,Hesawa,1345,Hesawa,Nyarubanga,0,Lake Victoria,Nyarubanga,Kagera,16,1,Bukoba,Nyarubanga,GeoData Consultants Ltd,VWC,Nyarubanga,False,2002,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
46168,33.365669,-2.81559,2013-03-06,Central government,1365,Central government,Nyakatare,0,Lake Victoria,Nyakatare,Kagera,16,1,Bukoba,Nyakatare,GeoData Consultants Ltd,VWC,Nyakatare,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
6324,33.447147,-2.776781,2013-03-06,Central government,1370,Central government,Nyamabuye,0,Lake Victoria,Nyamabuye,Kagera,16,1,Bukoba,Nyamabuye,GeoData Consultants Ltd,VWC,Nyamabuye,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
1812,33.44827,-2.776781,2013-03-06,Central government,1364,Central government,Nyamabuye,0,Lake Victoria,Nyamabuye,Kagera,16,1,Bukoba,Nyamabuye,GeoData Consultants Ltd,VWC,Nyamabuye,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
28289,33.885669,-2.965,2013-03-06,Central government,1339,Central government,Nyarubanga,0,Lake Victoria,Nyarubanga,Kagera,16,1,Bukoba,Nyarubanga,GeoData Consultants Ltd,VWC,Nyarubanga,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
24040,39.106203,-6.731694,2013-03-06,Government of Tanzania,1263,Government of Tanzania,Mto Wa Mbu,0,Internal,Mto Wa Mbu,Arusha,2,3,Monduli,Mto Wa Mbu,GeoData Consultants Ltd,VWC,Mto Wa Mbu,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
35776,39.106203,-6.731694,2013-03-06,Government of Tanzania,1263,Government of Tanzania,Mto Wa Mbu,0,Internal,Mto Wa Mbu,Arusha,2,3,Monduli,Mto Wa Mbu,GeoData Consultants Ltd,VWC,Mto Wa Mbu,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
41021,35.817078,-3.381972,2013-03-06,Government of Tanzania,1190,Government of Tanzania,Msingisi,0,Internal,Msingisi,Arusha,2,10,Simanjiro,Msingisi,GeoData Consultants Ltd,VWC,Msingisi,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
6956,35.817078,-3.381972,2013-03-06,Government of Tanzania,1190,Government of Tanzania,Msingisi,0,Internal,Msingisi,Arusha,2,10,Simanjiro,Msingisi,GeoData Consultants Ltd,VWC,Msingisi,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
11341,35.817078,-3.381972,2013-03-06,Government of Tanzania,1190,Government of Tanzania,Msingisi,0,Internal,Msingisi,Arusha,2,10,Simanjiro,Msingisi,GeoData Consultants Ltd,VWC,Msingisi,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
32259,35.817078,-3.381972,2013-03-06,Government of Tanzania,1190,Government of Tanzania,Msingisi,0,Internal,Msingisi,Arusha,2,10,Simanjiro,Msingisi,GeoData Consultants Ltd,VWC,Msingisi,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
50506,35.817078,-3.381972,2013-03-06,Government of Tanzania,1190,Government of Tanzania,Msingisi,0,Internal,Msingisi,Arusha,2,10,Simanjiro,Msingisi,GeoData Consultants Ltd,VWC,Msingisi,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
27265,35.817078,-3.381972,2013-03-06,Government of Tanzania,1190,Government of Tanzania,Msingisi,0,Internal,Msingisi,Arusha,2,10,Simanjiro,Msingisi,GeoData Consultants Ltd,VWC,Msingisi,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
54859,35.817078,-3.381972,2013-03-06,Government of Tanzania,1190,Government of Tanzania,Msingisi,0,Internal,Msingisi,Arusha,2,10,Simanjiro,Msingisi,GeoData Consultants Ltd,VWC,Msingisi,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
50197,35.817078,-3.381972,2013-03-06,Government of Tanzania,1190,Government of Tanzania,Msingisi,0,Internal,Msingisi,Arusha,2,10,Simanjiro,Msingisi,GeoData Consultants Ltd,VWC,Msingisi,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,borehole,borehole,groundwater,hand pump,hand pump,functional needs repair
32808,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
49793,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
24542,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
21382,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
45662,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
38812,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
54008,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
30824,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
40357,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
65203,37.425983,-5.041458,2013-03-06,Government of Tanzania,1074,Government of Tanzania,Kwadoli,0,Wami / Ruvu,Kwadoli,Tanga,25,8,Handeni,Kwadoli,GeoData Consultants Ltd,VWC,Kwadoli,False,1985,handpump,handpump,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,borehole,borehole,groundwater,hand pump,hand pump,non functional
13400,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
60608,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
58804,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
33735,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
53118,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
36381,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
56658,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
31627,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
8617,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
13733,34.297781,-6.40851,2013-03-06,World vision,1442,World vision,Mzeri,0,Pangani,Mzeri,Kilimanjaro,7,4,Moshi,Mzeri,GeoData Consultants Ltd,VWC,Mzeri,False,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
